iter	Passed	Remaining
472	673	750
473	675	749
474	676	747
475	677	745
476	678	743
477	679	741
478	680	739
479	681	738
480	682	736
481	683	734
482	684	732
483	686	731
484	687	730
485	689	729
486	690	727
487	691	725
488	692	723
489	693	721
490	694	720
491	695	718
492	696	716
493	697	714
494	698	712
495	700	711
496	701	710
497	703	709
498	704	707
499	705	705
500	706	703
501	707	702
502	708	700
503	709	698
504	710	696
505	711	694
506	712	693
507	714	691
508	715	690
509	717	689
510	718	687
511	719	686
512	720	684
513	721	682
514	722	680
515	723	679
516	724	677
517	726	675
518	727	674
519	729	673
520	731	672
521	732	670
522	733	669
523	734	667
524	736	666
525	737	664
526	738	663
527	739	661
528	741	659
529	742	658
530	743	656
531	745	655
532	746	654
533	747	652
534	748	650
535	749	648
536	750	646
537	751	645
538	752	643
539	753	641
540	753	639
541	755	638
542	756	636
543	758	635
544	760	634
545	761	633
546	762	631
547	763	629
548	764	627
549	765	626
550	766	624
551	767	622
552	767	620
553	769	619
554	770	617
555	772	617
556	773	615
557	774	613
558	775	612
559	776	610
560	777	608
561	778	606
562	779	604
563	779	602
564	780	601
565	781	599
566	782	597
567	783	595
568	784	594
569	786	593
570	787	591
571	788	590
572	789	588
573	790	586
574	791	584
575	792	583
576	793	581
577	793	579
578	794	577
579	795	575
580	796	574
581	797	572
582	798	571
583	799	569
584	802	569
585	803	567
586	803	565
587	804	563
588	805	562
589	806	560
590	807	558
591	808	556
592	808	555
593	809	553
594	810	551
595	811	550
596	812	548
597	814	547
598	815	546
599	816	544
600	817	542
601	818	541
602	819	539
603	820	537
604	821	536
605	821	534
606	822	532
607	823	530
608	824	529
609	825	527
610	825	525
611	827	524
612	828	523
613	830	522
614	831	520
615	832	519
616	833	517
617	834	515
618	835	514
619	835	512
620	836	510
621	837	508
622	838	507
623	839	505
624	839	503
625	840	502
626	842	500
627	843	499
628	844	498
629	845	496
630	846	495
631	847	493
632	848	491
633	848	490
634	849	488
635	850	486
636	851	485
637	852	483
638	852	481
639	853	480
640	854	478
641	855	477
642	856	475
643	858	474
644	859	473
645	860	471
646	861	469
647	861	468
648	862	466
649	863	465
650	864	463
651	865	461
652	866	460
653	866	458
654	867	457
655	868	455
656	869	453
657	870	452
658	871	451
659	872	449
660	873	448
661	874	446
662	875	444
663	876	443
664	876	441
665	877	440
666	878	438
667	879	436
668	880	435
669	880	433
670	881	432
671	882	430
672	883	429
673	884	427
674	885	426
675	886	425
676	887	423
677	888	421
678	889	420
679	890	418
680	890	417
681	891	415
682	892	414
683	893	412
684	894	411
685	895	409
686	895	408
687	896	406
688	897	405
689	898	403
690	899	402
691	901	401
692	902	399
693	902	398
694	903	396
695	904	395
696	905	393
697	906	392
698	906	390
699	907	389
700	908	387
701	909	386
702	910	384
703	910	382
704	911	381
705	912	379
706	913	378
707	915	377
708	916	376
709	917	374
710	918	373
711	919	371
712	920	370
713	921	369
714	922	367
715	923	366
716	923	364
717	924	363
718	925	361
719	926	360
720	928	359
721	929	358
722	931	356
723	931	355
724	932	353
725	934	352
726	935	351
727	936	349
728	937	348
729	937	346
730	938	345
731	939	344
732	940	342
733	941	341
734	943	340
735	944	338
736	946	337
737	947	336
738	948	334
739	949	333
740	950	332
741	951	330
742	952	329
743	953	328
744	954	326
745	955	325
746	956	323
747	957	322
748	958	321
749	960	320
750	961	318
751	961	317
752	962	315
753	963	314
754	964	313
755	966	311
756	966	310
757	967	308
758	968	307
759	969	306
760	970	304
761	971	303
762	972	302
763	974	300
764	975	299
765	976	298
766	977	296
767	978	295
768	979	294
769	980	292
770	981	291
771	981	289
772	983	288
773	984	287
774	985	285
775	985	284
776	986	283
777	987	281
778	989	280
779	990	279
780	991	278
781	992	276
782	993	275
783	994	273
784	995	272
785	996	271
786	996	269
787	997	268
788	998	267
789	999	265
790	999	264
791	1001	262
792	1002	261
793	1003	260
794	1005	259
795	1005	257
796	1006	256
797	1007	255
798	1008	253
799	1010	252
800	1011	251
801	1011	249
802	1012	248
803	1013	247
804	1014	245
805	1015	244
806	1016	243
807	1017	241
808	1019	240
809	1020	239
810	1021	238
811	1022	236
812	1023	235
813	1025	234
814	1026	232
815	1027	231
816	1028	230
817	1029	229
818	1031	227
819	1032	226
820	1034	225
821	1035	224
822	1036	222
823	1037	221
824	1038	220
825	1039	219
826	1040	217
827	1041	216
828	1042	215
829	1043	213
830	1045	212
831	1046	211
832	1048	210
833	1049	208
834	1050	207
835	1051	206
836	1052	205
837	1053	203
838	1054	202
839	1055	201
840	1056	199
841	1057	198
842	1058	197
843	1059	195
844	1061	194
845	1062	193
846	1063	192
847	1064	190
848	1065	189
849	1066	188
850	1067	186
851	1068	185
852	1069	184
853	1070	183
854	1071	181
855	1073	180
856	1075	179
857	1078	178
858	1079	177
859	1080	175
860	1082	174
861	1084	173
862	1085	172
863	1086	171
864	1087	169
865	1089	168
866	1090	167
867	1092	166
868	1093	164
869	1095	163
870	1096	162
871	1097	161
872	1099	159
873	1099	158
874	1100	157
875	1102	156
876	1104	154
877	1105	153
878	1106	152
879	1108	151
880	1109	149
881	1110	148
882	1111	147
883	1112	146
884	1113	144
885	1115	143
886	1116	142
887	1117	141
888	1119	139
889	1120	138
890	1121	137
891	1122	135
892	1123	134
893	1124	133
894	1125	132
895	1126	130
896	1127	129
897	1129	128
898	1130	126
899	1131	125
900	1134	124
901	1136	123
902	1137	122
903	1138	120
904	1139	119
905	1140	118
906	1141	117
907	1142	115
908	1143	114
909	1145	113
910	1147	112
911	1148	110
912	1149	109
913	1150	108
914	1151	106
915	1152	105
916	1153	104
917	1154	103
918	1155	101
919	1156	100
920	1157	99
921	1158	98
922	1160	96
923	1162	95
924	1163	94
925	1164	93
926	1164	91
927	1165	90
928	1166	89
929	1167	87
930	1168	86
931	1169	85
932	1169	84
933	1170	82
934	1171	81
935	1172	80
936	1174	78
937	1175	77
938	1176	76
939	1177	75
940	1178	73
941	1179	72
942	1180	71
943	1181	70
944	1182	68
945	1183	67
946	1183	66
947	1184	64
